,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,,
Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,,
105,Giovanni Di Lorenzo,DF,it Italy,27,1993,6.5,345,277,68,12,0,41,3,7,0,0,0,0,225,75,45,26,237,14,56,1,299,0,4,10,7,,
106,Rúben Dias,DF,pt Portugal,23,1997,4,307,297,10,9,1,14,13,0,0,0,0,0,255,17,35,52,244,10,1,0,286,0,5,0,3,,
107,Lucas Digne,DF,fr France,27,1993,1.1,74,64,10,1,0,17,0,4,0,0,0,0,46,19,9,57,0,2,9,0,62,0,0,3,4,,
108,Stole Dimitrievski,GK,mk N. Macedonia,27,1993,3,98,67,31,8,0,4,6,0,0,0,0,0,45,8,45,8,73,0,0,14,74,0,5,1,0,,
109,Igor Diveev,DF,ru Russia,21,1999,2.5,117,110,7,6,0,8,8,0,0,0,0,0,80,12,25,19,88,5,1,1,95,1,2,3,1,,
110,Jeremy Doku,MF,be Belgium,18,2002,1.8,60,60,0,0,1,11,1,5,0,0,0,0,53,6,1,11,48,0,0,0,48,0,1,1,1,,
111,Kasper Dolberg,FW,dk Denmark,23,1997,2.5,49,47,2,0,0,13,1,1,0,0,0,0,35,9,5,6,35,3,0,2,38,0,0,2,1,,
112,Gianluigi Donnarumma,GK,it Italy,21,1999,8,243,193,50,17,0,27,3,0,0,0,0,0,166,11,66,34,161,1,0,41,201,0,6,4,0,,
113,Artem Dovbyk,FW,ua Ukraine,23,1997,0.2,5,4,1,0,0,1,0,0,0,0,0,0,5,0,0,3,2,0,0,0,4,0,0,0,0,,
114,Aleksandar Dragović,DF,at Austria,29,1991,3.8,232,220,12,11,1,31,9,1,0,0,0,0,188,9,35,31,188,6,1,0,201,0,3,7,2,,
115,Martin Dúbravka,GK,sk Slovakia,32,1989,3,120,81,39,11,0,13,6,0,0,0,0,0,63,3,54,12,93,0,0,13,80,0,4,1,2,,
116,Ondrej Duda,FW,sk Slovakia,26,1994,2.5,88,82,6,0,0,18,9,1,2,2,0,0,63,5,20,8,77,2,0,0,71,0,2,1,2,,
117,Denzel Dumfries,DF,nl Netherlands,24,1996,3.5,129,97,32,2,0,16,3,8,0,0,0,0,67,38,24,8,77,5,30,2,95,1,1,4,6,,
118,Michal Ďuriš,FWMF,sk Slovakia,32,1988,0.6,13,10,3,0,0,2,0,0,0,0,0,0,12,0,1,1,12,0,0,0,13,0,0,0,0,,
119,Lyndon Dykes,FW,sct Scotland,25,1995,2.9,53,51,2,0,0,26,2,1,0,0,0,0,10,18,25,2,17,15,0,1,24,0,4,4,4,,
120,Georgi Dzhikiya,DF,ru Russia,27,1993,3,132,121,11,11,0,13,1,1,0,0,0,0,102,3,27,66,62,2,0,2,110,2,3,1,0,,
121,Artem Dzyuba,FW,ru Russia,32,1988,2.9,83,79,4,0,0,38,1,1,0,0,0,0,30,28,25,4,40,10,1,4,50,0,1,7,3,,
122,Albin Ekdal,MF,se Sweden,31,1989,4.3,136,130,6,4,2,25,3,0,0,0,0,0,103,15,18,11,109,7,1,0,119,0,2,3,2,,
123,Elif Elmas,MFFW,mk N. Macedonia,21,1999,3,106,102,4,1,0,28,3,0,1,0,0,0,87,7,12,17,83,4,0,0,94,0,1,4,3,,
124,Nico Elvedi,DF,ch Switzerland,24,1996,5.7,240,233,7,4,0,25,1,0,0,0,0,0,208,13,19,42,185,8,3,0,216,1,2,4,2,,
125,Breel Embolo,FW,ch Switzerland,23,1997,4.1,110,108,2,0,0,38,2,2,0,0,0,0,83,19,8,17,83,6,1,2,87,2,2,5,5,,
126,Christian Eriksen,MF,dk Denmark,28,1992,0.5,30,24,6,0,0,6,3,2,6,4,2,0,14,7,9,4,25,0,0,0,22,0,1,0,0,,
127,Christian Fassnacht,FWMF,ch Switzerland,27,1993,0.8,19,19,0,0,0,6,1,0,0,0,0,0,10,0,9,3,11,2,0,0,8,0,1,1,0,,
128,João Félix,FW,pt Portugal,21,1999,0.4,20,19,1,0,0,3,1,1,0,0,0,0,14,3,3,2,15,0,1,1,16,0,0,0,1,,
129,Bruno Fernandes,MF,pt Portugal,26,1994,2.3,105,89,16,5,2,19,7,13,6,0,5,0,65,8,32,5,95,2,3,0,79,0,0,1,3,,
130,Mário Fernandes,DF,ru Russia,30,1990,2.3,76,57,19,1,0,8,2,1,0,0,0,0,36,17,23,4,46,5,18,1,59,0,1,1,1,,
131,Attila Fiola,DF,hu Hungary,30,1990,2.9,91,65,26,3,0,6,0,2,0,0,0,0,44,29,18,12,50,5,23,1,62,0,1,6,4,,
132,Alessandro Florenzi,DF,it Italy,29,1991,0.5,57,49,8,1,0,3,3,2,0,0,0,0,37,10,10,3,46,1,7,0,48,0,2,3,1,,
133,Phil Foden,FWMF,eng England,20,2000,1.8,75,71,4,1,0,9,3,1,2,1,1,0,59,6,10,70,4,1,0,0,63,0,1,0,2,,
134,James Forrest,DF,sct Scotland,29,1991,0.1,5,5,0,0,0,2,0,0,0,0,0,0,4,0,1,0,4,0,0,0,3,0,0,1,0,,
135,Emil Forsberg,MF,se Sweden,29,1991,4.1,147,133,14,1,0,26,6,0,12,11,1,0,107,21,19,8,132,3,0,3,119,0,5,4,2,,
136,Marcus Forss,FW,fi Finland,21,1999,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,,
137,Przemysław Frankowski,DFFW,pl Poland,25,1995,0.9,49,43,6,0,0,8,2,8,0,0,0,0,28,13,8,7,36,0,6,0,41,1,1,1,3,,
138,Ryan Fraser,MF,sct Scotland,26,1994,0.5,22,19,3,0,0,2,2,4,2,1,1,0,11,3,8,5,16,1,0,0,15,0,0,0,0,,
139,Remo Freuler,MF,ch Switzerland,28,1992,5.1,249,236,13,13,0,59,6,4,0,0,0,0,195,28,26,36,198,7,0,1,224,0,3,5,3,,
140,Cody Gakpo,MF,nl Netherlands,21,1999,0.1,6,6,0,0,0,3,0,1,0,0,0,0,3,2,1,0,6,0,0,0,4,0,0,0,1,,
141,Eric García,DF,es Spain,20,2001,2.8,288,281,7,7,0,10,8,0,0,0,0,0,272,3,13,52,232,3,0,1,277,0,0,4,0,,
142,Mario Gavranović,FWMF,ch Switzerland,31,1989,1.7,31,28,3,0,0,14,0,0,0,0,0,0,25,4,2,3,26,1,0,0,23,0,0,1,2,,
143,Billy Gilmour,MF,sct Scotland,19,2001,0.8,45,43,2,1,0,9,3,1,1,1,0,0,36,3,6,6,38,1,0,0,40,0,0,0,0,,
144,Matthias Ginter,DF,de Germany,27,1994,3.8,300,295,5,0,0,20,5,7,0,0,0,0,240,16,44,37,244,10,5,0,263,2,3,2,4,,
145,Olivier Giroud,FW,fr France,34,1986,0.5,11,10,1,0,0,2,0,0,0,0,0,0,6,5,0,9,0,0,1,0,7,0,0,1,0,,
146,Kamil Glik,DF,pl Poland,32,1988,3,141,135,6,5,0,23,1,0,0,0,0,0,104,9,28,20,98,7,1,2,120,0,2,0,2,,
147,Serge Gnabry,FW,de Germany,25,1995,2.8,80,72,8,0,0,17,1,4,0,0,0,0,61,10,9,14,59,7,0,0,63,0,5,2,1,,
148,Aleksandr Golovin,MFFW,ru Russia,24,1996,3,130,114,16,3,1,24,5,12,7,3,3,1,86,19,25,14,106,1,4,2,100,0,3,6,2,,
149,Leon Goretzka,MFFW,de Germany,25,1995,1.6,72,71,1,1,1,14,0,0,0,0,0,0,62,3,7,1,65,6,0,0,66,0,0,1,1,,
150,Robin Gosens,DF,de Germany,26,1994,3.5,190,172,18,3,2,26,3,12,0,0,0,0,139,30,21,159,11,4,15,0,159,1,1,4,5,,
151,Ryan Gravenberch,MF,nl Netherlands,18,2002,1.2,95,93,2,1,1,5,0,0,0,0,0,0,82,7,6,13,80,1,1,0,85,0,1,3,3,,
152,Jack Grealish,FWMF,eng England,25,1995,2,77,73,4,1,0,24,0,3,0,0,0,0,59,12,6,5,66,1,2,0,64,0,0,3,1,,
